"","avg_log2FC","p_val_adj"
"HES4",1.66735084920414,0
"FCGR3A",4.23558388953149,0
"CDKN1C",3.19090661992434,0
"CKB",1.23454116993589,1.03680517628501e-285
"RHOC",2.39501356124612,1.66770365437623e-303
"CD79B",1.17569064214276,7.84555812996291e-279
"MTSS1",1.63062240113942,8.32833784275249e-280
"ADA",0.90612803775734,1.97715035992316e-241
"TCF7L2",1.89182863579058,8.22473414681876e-229
"CHST2",1.23945241805277,1.23899601860343e-194
"CTSL",0.914276232509481,3.80165705254197e-186
"ABI3",1.34402262584628,1.16043329131152e-154
"EVL",1.33396549589083,4.5782905675583e-154
"SIGLEC10",1.24866158980404,8.05387866459882e-139
"RRAS",1.2040454061105,3.74097343787096e-131
