"","avg_log2FC","p_val_adj"
"HES4",1.68134387358513,0
"FCGR3A",4.22538630411713,0
"CDKN1C",3.22134516817298,0
"CKB",1.25986044994812,1.03132348790832e-299
"RHOC",2.40107788282438,1.3694720778362e-296
"CD79B",1.18286792329431,1.29968419568839e-278
"MTSS1",1.63396948224582,5.59424233800261e-273
"ADA",0.911163664113152,3.19986306690459e-239
"TCF7L2",1.90106237804614,2.25769313336647e-224
"CHST2",1.23210145524802,3.41637156412344e-190
"CTSL",0.912997106088223,1.27017975578935e-182
"ABI3",1.35119867507374,1.24532681161552e-149
"EVL",1.28415552196958,5.2008282204057e-142
"SIGLEC10",1.25202355675519,2.50590160705822e-137
"RRAS",1.21658815540965,4.71883677970775e-132
