"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTPRCAP",9.33821343104369e-244,3.14947567670785,0.673,0.007,3.05714431305508e-239
"CD79A",3.72805745820438e-180,2.78477668199741,0.4,0.002,1.22049145066695e-175
"CTSW",1.97471471752117e-176,2.82493664400286,0.364,0.001,6.4648210422208e-172
"IL32",2.63599003562788e-167,4.07430397670986,0.4,0.002,8.62970417863857e-163
"AL928768.3",5.08542250296239e-167,4.22636841157439,0.345,0.001,1.66486561901983e-162
"CD27",1.57684369523563e-147,2.39544971461708,0.309,0.001,5.16227088946242e-143
"DERL3",6.45720641348176e-145,2.25578195494543,0.4,0.004,2.11396023564566e-140
"FKBP11",8.38093212727419e-141,2.67648852663106,0.418,0.005,2.74374955982702e-136
"TNFRSF17",4.04002332725842e-140,2.3381556946953,0.309,0.001,1.32262283687786e-135
"CD7",2.36156345823778e-137,3.20863418889351,0.418,0.006,7.73128644957883e-133
"TMED2",1.26617138649157e-132,1.72166067744945,0.436,0.007,4.14519188509609e-128
"AQP3",2.60905693490601e-130,1.65030370552022,0.291,0.001,8.54153059349531e-126
"MZB1",1.98420939730851e-127,4.27135342634197,0.455,0.009,6.4959047249086e-123
"PDLIM1",3.03449804213182e-124,1.20919535195327,0.327,0.003,9.93433969033114e-120
"ITM2C",3.23475008306899e-122,3.02471044451837,0.436,0.009,1.05899248219512e-117
