"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.6","SeuratProject",1042,342,"H1","CD14 Monocyte","3","14",-0.0177021947405661,0.0111806950918449,"G2M","3",1611,349,"14"
"HIP002.17","SeuratProject",1003,410,"H1","CD14 Monocyte","3","6",0.0372838727636546,-0.0531218862698678,"S","3",1572,420,"6"
"HIP002.28","SeuratProject",1141,453,"H1","CD14 Monocyte","3","6",-0.0393649930062866,-0.0643177331758277,"G1","3",1588,453,"6"
"HIP002.29","SeuratProject",1155,461,"H1","CD14 Monocyte","3","14",-0.0414757592927628,-0.0578748962095375,"G1","3",1586,464,"14"
"HIP002.36","SeuratProject",1100,458,"H1","CD14 Monocyte","11","6",-0.0397021178330654,0.0237046011460221,"G2M","11",1549,461,"6"
"HIP002.37","SeuratProject",1065,480,"H1","CD14 Monocyte","3","5",-0.0325245921493059,0.0170067042696656,"G2M","3",1555,484,"5"
"HIP002.42","SeuratProject",1018,483,"H1","CD14 Monocyte","3","6",0.0151961652323484,-0.0768382003555403,"S","3",1524,485,"6"
"HIP002.43","SeuratProject",1055,478,"H1","CD14 Monocyte","7","14",0.0169932013911196,0.0215908296588299,"G2M","7",1529,479,"14"
"HIP002.45","SeuratProject",1240,497,"H1","CD14 Monocyte","3","6",0.0150385770624685,-0.0244073942829689,"S","3",1601,498,"6"
"HIP002.46","SeuratProject",1039,494,"H1","CD14 Monocyte","3","14",0.0238189000589437,0.247582384798101,"G2M","3",1520,498,"14"
"HIP002.48","SeuratProject",1119,502,"H1","CD14 Monocyte","3","6",-0.0258985425976922,-0.0707844749905843,"G1","3",1567,504,"6"
"HIP002.49","SeuratProject",1045,503,"H1","CD16 Monocyte","5","7",-0.0351585303550048,-0.0783221231252212,"G1","5",1528,506,"7"
"HIP002.50","SeuratProject",1128,498,"H1","CD16 Monocyte","5","7",-0.0535996449564754,-0.0664668099010782,"G1","5",1567,497,"7"
"HIP002.53","SeuratProject",1047,504,"H1","CD14 Monocyte","2","6",0.0379745671647842,-0.0363970589156213,"S","2",1521,507,"6"
"HIP002.58","SeuratProject",1087,510,"H1","CD14 Monocyte","5","7",0.0167837455522862,-0.0733117922207208,"S","5",1531,512,"7"
"HIP002.62","SeuratProject",1532,499,"H1","CD14 Monocyte","3","13",0.0139791758018272,-0.0359168142397498,"S","3",1716,499,"13"
"HIP002.63","SeuratProject",1031,520,"H1","CD14 Monocyte","3","5",-0.0307634019415654,-0.0447360628040614,"G1","3",1514,526,"5"
"HIP002.64","SeuratProject",1323,508,"H1","CD14 Monocyte","3","14",0.0195981464222958,-0.0161185794255454,"S","3",1622,508,"14"
"HIP002.65","SeuratProject",1059,504,"H1","CD14 Monocyte","3","6",0.0264107466844492,-0.0322129290277927,"S","3",1513,505,"6"
