"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP002.2","SeuratProject",997,252,0.18018018018018,"Singlet","9","9"
"HIP002.5","SeuratProject",1123,322,0.018018018018018,"Singlet","4","4"
"HIP002.6","SeuratProject",1042,342,0.0720720720720721,"Singlet","3","3"
"HIP002.8","SeuratProject",1030,377,0.189189189189189,"Singlet","2","2"
"HIP002.9","SeuratProject",1014,372,0.036036036036036,"Singlet","4","4"
"HIP002.16","SeuratProject",1124,426,0.0540540540540541,"Singlet","4","4"
"HIP002.17","SeuratProject",1003,410,0.045045045045045,"Singlet","3","3"
"HIP002.20","SeuratProject",1001,445,0.027027027027027,"Singlet","4","4"
"HIP002.23","SeuratProject",1470,446,0.027027027027027,"Singlet","4","4"
"HIP002.27","SeuratProject",1014,444,0.00900900900900901,"Singlet","2","2"
"HIP002.28","SeuratProject",1141,453,0.0990990990990991,"Singlet","3","3"
"HIP002.29","SeuratProject",1155,461,0.153153153153153,"Singlet","3","3"
"HIP002.30","SeuratProject",1078,455,0,"Singlet","2","2"
"HIP002.32","SeuratProject",1025,480,0.0630630630630631,"Singlet","4","4"
"HIP002.34","SeuratProject",1078,474,0,"Singlet","2","2"
"HIP002.35","SeuratProject",1253,474,0,"Singlet","2","2"
"HIP002.36","SeuratProject",1100,458,0.0990990990990991,"Singlet","11","11"
"HIP002.37","SeuratProject",1065,480,0.108108108108108,"Singlet","3","3"
"HIP002.38","SeuratProject",1136,471,0.0900900900900901,"Singlet","4","4"
"HIP002.40","SeuratProject",1043,481,0.0540540540540541,"Singlet","4","4"
"HIP002.41","SeuratProject",1048,473,0,"Singlet","0","0"
"HIP002.42","SeuratProject",1018,483,0.108108108108108,"Singlet","3","3"
"HIP002.43","SeuratProject",1055,478,0.153153153153153,"Singlet","7","7"
"HIP002.44","SeuratProject",1017,494,0.018018018018018,"Singlet","2","2"
"HIP002.45","SeuratProject",1240,497,0.108108108108108,"Singlet","3","3"
"HIP002.46","SeuratProject",1039,494,0.0990990990990991,"Singlet","3","3"
"HIP002.47","SeuratProject",1022,494,0,"Singlet","2","2"
"HIP002.48","SeuratProject",1119,502,0.045045045045045,"Singlet","3","3"
"HIP002.49","SeuratProject",1045,503,0.162162162162162,"Singlet","5","5"
"HIP002.50","SeuratProject",1128,498,0.117117117117117,"Singlet","5","5"
"HIP002.51","SeuratProject",1120,491,0,"Singlet","2","2"
"HIP002.52","SeuratProject",1502,496,0.045045045045045,"Singlet","3","3"
"HIP002.53","SeuratProject",1047,504,0.0630630630630631,"Singlet","2","2"
"HIP002.54","SeuratProject",1058,492,0.036036036036036,"Singlet","4","4"
"HIP002.55","SeuratProject",1227,499,0.0540540540540541,"Singlet","4","4"
"HIP002.58","SeuratProject",1087,510,0.135135135135135,"Singlet","5","5"
"HIP002.59","SeuratProject",1110,504,0,"Singlet","2","2"
"HIP002.60","SeuratProject",1225,521,0.369369369369369,"Singlet","9","9"
"HIP002.61","SeuratProject",1391,514,0.045045045045045,"Singlet","4","4"
"HIP002.62","SeuratProject",1532,499,0.0990990990990991,"Singlet","3","3"
"HIP002.63","SeuratProject",1031,520,0.126126126126126,"Singlet","3","3"
"HIP002.64","SeuratProject",1323,508,0.135135135135135,"Singlet","3","3"
"HIP002.65","SeuratProject",1059,504,0.0630630630630631,"Singlet","3","3"
"HIP002.66","SeuratProject",1011,516,0.045045045045045,"Singlet","4","4"
"HIP002.67","SeuratProject",1042,519,0.225225225225225,"Singlet","5","5"
