"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ETS1",3.77606123158982e-246,2.43198084054851,0.707,0.037,9.95407501259393e-242
"SYNE2",2.4312826700068e-199,2.55389729195384,0.608,0.037,6.40910424640491e-195
"TRBC2",2.20679508642381e-172,1.94748743707511,0.529,0.028,5.8173325273218e-168
"CD247",1.9550891861684e-139,1.5842875877253,0.381,0.009,5.15381060365851e-135
"PTPRCAP",3.7476098858572e-128,1.40671647775839,0.439,0.031,9.87907442010818e-124
"SLC38A1",4.07978140721629e-128,1.35230490640843,0.426,0.027,1.07547117675629e-123
"IL7R",1.48093634779955e-127,2.09451166781595,0.392,0.019,3.9038963064344e-123
"PRF1",4.65653367851931e-122,1.78759102899589,0.367,0.015,1.22750884299447e-117
"GNLY",7.58440307100371e-120,2.21189833581457,0.446,0.044,1.99932449354729e-115
"GZMA",1.71025097350853e-119,1.29409307377485,0.358,0.013,4.50839259126583e-115
"SPOCK2",1.52336691708742e-117,1.32253150148417,0.358,0.015,4.01574753013415e-113
"LCK",6.16176270750637e-111,1.10953381577178,0.306,0.006,1.62430226732575e-106
"CCL5",5.62475994405159e-107,1.81310209701232,0.414,0.042,1.48274296885144e-102
"TRAC",1.76386477151016e-102,1.21327808383729,0.288,0.007,4.64972392417793e-98
"TCF7",1.73704767516054e-101,1.34674693154573,0.302,0.011,4.5790313764907e-97
"FGFBP2",3.617238720175e-100,1.3556887901045,0.306,0.013,9.53540299025331e-96
"CD3D",3.32641580006369e-95,1.21835825217364,0.291,0.012,8.76876469054788e-91
"GZMB",2.52374599388921e-93,1.25664915841953,0.288,0.012,6.65284681449136e-89
"IL2RB",2.17085427460929e-91,1.19136282626722,0.286,0.013,5.72258895329756e-87
"NKG7",1.57985049426484e-90,1.14593176115574,0.286,0.013,4.16464388793153e-86
"RP11-94L15.2",1.68196822176012e-90,0.988431012688114,0.277,0.011,4.43383642938186e-86
"ABLIM1",1.7814633119706e-86,1.07384055150862,0.27,0.012,4.69611543668569e-82
"GZMH",1.30079147931825e-84,1.16437777485647,0.252,0.009,3.42901641863084e-80
"ZAP70",1.16259242135669e-83,0.973069516956411,0.268,0.013,3.06470988193838e-79
"GPR56",7.65404911380717e-81,0.881412746652353,0.236,0.007,2.01768388689071e-76
"LBH",6.92736699454555e-79,0.915172878868431,0.248,0.011,1.82612321343215e-74
"CD3E",2.88832287156984e-77,0.818082326067669,0.227,0.007,7.61390792174525e-73
"GOLGA8A",4.49020149846075e-77,1.08047403318748,0.351,0.045,1.18366201700924e-72
"CD2",9.0628038580482e-77,0.923899987394063,0.257,0.014,2.38904572502009e-72
"CD3G",1.5558435369445e-76,0.907329015874464,0.225,0.007,4.10135914773941e-72
"CD8A",2.16132465327946e-76,1.07402734222086,0.23,0.008,5.69746791850997e-72
"RORA",7.42139419517654e-76,0.841100693324963,0.243,0.012,1.95635372379049e-71
"CTSW",7.80464166709466e-75,0.814745261833265,0.223,0.008,2.05738158986282e-70
"BCL11B",9.87913629167053e-74,0.911706671835356,0.221,0.008,2.60423911784727e-69
"SPON2",4.44193024246238e-73,1.21999591561387,0.25,0.016,1.17093723121551e-68
"ARL4C",2.09882045625465e-72,1.29619581138406,0.568,0.166,5.53270060473287e-68
"KLRD1",4.02468748096661e-71,0.773552681237236,0.207,0.006,1.06094786685761e-66
"S1PR5",2.36390285651343e-70,0.603012957910391,0.182,0.001,6.23148432005507e-66
"SYNE1",4.5057421428296e-70,1.59813001452561,0.59,0.198,1.18775868627131e-65
"MATK",3.3628437326509e-69,0.79901062538984,0.205,0.006,8.86479236364104e-65
"NFATC2",5.5316747453925e-68,0.849234720761639,0.221,0.011,1.45820477963292e-63
"IL32",1.76552744617698e-67,0.743746219600056,0.189,0.004,4.65410690086713e-63
"SLFN5",1.79811088446508e-67,1.27868337962894,0.541,0.16,4.74000010253839e-63
"CD6",7.84197347906728e-67,0.739899152310231,0.207,0.008,2.06722262881693e-62
"CST7",6.59721946369656e-66,0.682798543665678,0.191,0.005,1.73909302282505e-61
"PRKCH",3.64452088546972e-64,0.907316463092932,0.273,0.03,9.60732150618672e-60
"MYBL1",4.77238656179022e-64,0.697154438027634,0.191,0.006,1.25804882155352e-59
"SAMD3",1.04128511558511e-61,0.654093797466191,0.18,0.005,2.7449316931939e-57
"LTB",1.06075880857322e-60,1.27864172429465,0.385,0.084,2.79626629527988e-56
"BCL2",9.26950784833175e-60,0.816723845243424,0.221,0.017,2.44353496389873e-55
"TGFBR3",4.10786238345648e-58,0.75006763726433,0.18,0.007,1.08287360290296e-53
"EVL",2.58521661139725e-57,1.03916110738504,0.457,0.126,6.81488950930429e-53
"PSAP",4.24233339064531e-57,-0.520944645627759,0.984,0.998,1.11832150510801e-52
"PCED1B-AS1",2.4618134041903e-56,0.782077168975165,0.25,0.029,6.48958631478605e-52
"HOPX",7.18401611437624e-55,0.789933975417565,0.173,0.008,1.89377848791072e-50
"KLRB1",2.30881376372314e-54,0.754578995482399,0.164,0.006,6.08626396255056e-50
"TBX21",8.6196617237314e-54,0.602127613315129,0.158,0.005,2.27222902699283e-49
"SKAP1",3.49255197134016e-53,0.565414613539863,0.151,0.003,9.2067162516498e-49
"IKZF3",8.58894048982918e-53,0.625572463661196,0.144,0.002,2.26413060252387e-48
"RASGRP1",9.42966058391629e-53,0.570047290182318,0.185,0.012,2.48575282652617e-48
"CCND2",1.22806939806964e-52,0.917235909203446,0.293,0.05,3.23731374025137e-48
"SPTBN1",1.65596552080602e-52,0.992971539174259,0.372,0.087,4.36529070939675e-48
"LEF1",2.49345609312396e-52,0.649044341883583,0.149,0.003,6.57299960708407e-48
"GOLGA8B",5.14063273294113e-51,0.75569863425298,0.275,0.044,1.35512219473061e-46
"FCRL3",5.1651935170117e-51,0.651877472780014,0.151,0.005,1.36159666301946e-46
"CTSS",8.38897921531095e-51,-0.537053835225618,0.977,0.998,2.21141881094812e-46
"FAIM3",8.47859131566868e-51,0.605461783428867,0.158,0.006,2.23504145672342e-46
"FCRL6",6.21787089366093e-49,0.523373992850433,0.137,0.003,1.63909294627796e-44
"CYFIP2",3.73748632576164e-47,0.888354525419444,0.439,0.135,9.85238770334027e-43
"CD96",3.9966783810554e-47,0.608585924220988,0.155,0.008,1.05356438803001e-42
"ITK",4.8807895963824e-47,0.574362816454526,0.151,0.007,1.28662494550236e-42
"SLAMF6",3.42766322261901e-46,0.564764985744581,0.153,0.008,9.03566302114597e-42
"PYHIN1",4.87214219562034e-46,0.456249151984357,0.133,0.003,1.28434540418748e-41
"CCR7",1.222329515152e-45,0.583050065158428,0.142,0.006,3.22218283489219e-41
"RUNX3",1.48160872719744e-45,0.9414449492842,0.428,0.134,3.90566876576518e-41
"LINC00861",4.19167411657131e-45,0.552915092463433,0.133,0.004,1.10496721386936e-40
"ATM",4.19502055505844e-45,1.06202962614961,0.601,0.266,1.10584936851896e-40
"GATA3",5.93363461749935e-45,0.48769673239288,0.133,0.004,1.564165421519e-40
"CD7",8.23989809431624e-45,0.445534214467993,0.135,0.005,2.1721195366427e-40
"ITGA6",1.91463724845485e-44,0.61706624542856,0.144,0.007,5.04717525065183e-40
"CARD11",2.25584287670779e-44,0.521154550336362,0.128,0.003,5.94662740728942e-40
"TRIB2",1.25457492803843e-43,0.467527438634633,0.142,0.007,3.3071849678021e-39
"OPTN",6.75539576310506e-42,0.603515007005692,0.169,0.016,1.78078987711213e-37
"KLRF1",3.24293328515907e-41,0.56492316851903,0.137,0.008,8.54869643300783e-37
"SH2D1A",2.88826820935568e-40,0.529654709870515,0.126,0.005,7.61376382668251e-36
