"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PSAP",2.91823316007749e-129,-0.762995897111904,0.992,1,6.98070554222135e-125,"0","PSAP"
"FTL",9.20861489836119e-67,-0.621853860822147,0.92,0.989,2.20279276983698e-62,"0","FTL"
"AIF1",3.39507730703995e-55,-0.621160170740331,0.679,0.88,8.12136442617027e-51,"0","AIF1"
"CTSS",1.35744139400459e-54,-0.516745096296608,0.953,0.995,3.24713555859837e-50,"0","CTSS"
"TYROBP",2.03410906348948e-47,-0.521379162584501,0.811,0.933,4.86579229077318e-43,"0","TYROBP"
"LST1",2.62105913230512e-43,-0.574630636969088,0.534,0.767,6.26983555038707e-39,"0","LST1"
"OAZ1",4.46074143996156e-42,-0.440270322260335,0.834,0.952,1.0670539598532e-37,"0","OAZ1"
"RNA18S5",7.52676355634943e-42,0.443976270504026,1,1,1.80047711031435e-37,"0","RNA18S5"
"TNFRSF1B",6.44498586888352e-39,-0.531793113588307,0.704,0.88,1.54170506969563e-34,"0","TNFRSF1B"
"HLA-B",3.3639086723556e-38,-0.343034795250569,1,1,8.04680593514184e-34,"0","HLA-B"
"HLA-DQB1",4.16292876065131e-38,0.561643823003545,0.614,0.367,9.958141888354e-34,"0","HLA-DQB1"
"LILRB2",6.91702605791894e-38,-0.496536049327251,0.388,0.647,1.65462180331479e-33,"0","LILRB2"
"RNA28S5",7.64534528838395e-37,0.592004005279641,1,1,1.82884304643432e-32,"0","RNA28S5"
"TKT",1.95635842180192e-35,-0.469772541312408,0.694,0.875,4.67980498079238e-31,"0","TKT"
"SERPINA1",1.73984288016826e-34,-0.470949949457457,0.49,0.735,4.1618781536505e-30,"0","SERPINA1"
"HLA-E",6.87211188376507e-34,-0.419900655160391,0.959,0.984,1.64387788371544e-29,"0","HLA-E"
"CSF1R",4.00004892832678e-30,-0.548661678454831,0.394,0.616,9.5685170414505e-26,"0","CSF1R"
"TMSB4X",5.81736875105809e-30,-0.336065641600866,0.954,0.985,1.39157277894061e-25,"0","TMSB4X"
"CYBB",1.2804738574155e-29,-0.452821704821265,0.78,0.905,3.06302151432362e-25,"0","CYBB"
"SAT1",2.21304837998428e-29,-0.488358989127513,0.712,0.858,5.29383302976039e-25,"0","SAT1"
"COTL1",5.44145733766376e-29,-0.424352179219658,0.806,0.918,1.30165100974255e-24,"0","COTL1"
"NCF2",5.36511391671908e-28,-0.40299132492457,0.627,0.815,1.28338890001837e-23,"0","NCF2"
"FCER1G",6.73506129213963e-28,-0.401810826479935,0.417,0.637,1.61109401169272e-23,"0","FCER1G"
"GNAI2",1.30061807870368e-25,-0.354054836958993,0.695,0.849,3.11120850606707e-21,"0","GNAI2"
"LYN",1.5113673597544e-25,-0.499676396816555,0.586,0.735,3.6153418612685e-21,"0","LYN"
"MPEG1",6.27010419866325e-24,-0.376210389994342,0.614,0.781,1.49987162536224e-19,"0","MPEG1"
"PTP4A2",2.96401392527753e-23,-0.391697106167473,0.637,0.798,7.09021771065638e-19,"0","PTP4A2"
"WARS",1.04588342616933e-22,-0.409875317949027,0.344,0.554,2.50185774373965e-18,"0","WARS"
"DUSP6",1.28188284166908e-22,-0.394860118844143,0.472,0.665,3.06639194555661e-18,"0","DUSP6"
"SRGN",1.52188567759512e-22,-0.356312086265701,0.684,0.842,3.64050272937529e-18,"0","SRGN"
"ACTB",1.34304258997076e-21,-0.307432734294829,0.92,0.977,3.21269217946905e-17,"0","ACTB"
"TSPO",2.53634140831748e-21,-0.342792347303542,0.485,0.67,6.06718228283624e-17,"0","TSPO"
"SLC7A7",3.66911985725976e-21,-0.294657400622872,0.309,0.524,8.77690161055106e-17,"0","SLC7A7"
"S100A4",4.14546580330337e-21,-0.31845413308674,0.609,0.779,9.91636874808199e-17,"0","S100A4"
"C10orf54",3.75084182648795e-20,-0.324510086841178,0.549,0.719,8.97238873314182e-16,"0","C10orf54"
"ARRB2",7.63707439410424e-20,-0.27943085835303,0.441,0.637,1.82686456581367e-15,"0","ARRB2"
"ALDOA",1.12558672026616e-19,-0.299369006834627,0.539,0.722,2.69251599354868e-15,"0","ALDOA"
