,tSNE_1,tSNE_2
0,0.7919840508883477,-6.381716242171092
1,-5.635055308099903,-22.9866070863906
2,-9.397969893774128,-25.243575816550273
3,-7.326314662969266,-21.857134631737907
4,-8.757535975185078,-24.931683239043792
5,-8.431317559262503,-25.470784351985277
6,-8.435376579905867,-25.17300161095641
7,-7.165396674024472,-25.186080893517694
8,-8.722643452327926,-25.129227288316475
9,-8.404473832729405,-25.445816494896377
10,-8.90747666086344,-25.221745118863367
11,-7.188690144179932,-25.284003041473376
12,-8.765137852890827,-25.613786367423067
13,-7.087558108927401,-25.220937285806848
14,-6.369284159983092,-25.220803134280448
15,-5.4321460609174785,-24.540735598778358
16,-6.234011233564123,-23.44092406518124
17,-6.813029784179045,-25.726006301230548
18,-5.7181309807548155,-23.176346021622912
19,-7.332835726932235,-25.58382269806979
20,-5.358522823492736,-25.802784185356295
21,-7.09436086909363,-25.3835394797065
22,-5.917989591473108,-24.212582591160615
23,-6.738490935393671,-25.41473735970233
24,-7.63165556108516,-25.188503012151983
25,-7.31066217050313,-24.572794162183815
26,-6.8156475557779155,-24.807208579220198
27,-6.1100406451619165,-24.13647027406068
28,-6.069207921001967,-24.07933849559419
29,-6.660876522378191,-25.055521664951772
30,-7.657068207847478,-25.553452643649358
31,-6.124304565176951,-25.039771684195273
32,-7.039997839856457,-25.41193917097009
33,-6.767281233286338,-26.101598685047875
34,-6.903173667441519,-26.303166675993054
35,-5.980770219528599,-25.20938907473434
36,-6.074463487458424,-25.183926375997785
37,-5.561652619877173,-23.2587343367592
38,-7.545139051928105,-25.29128057020329
39,-5.869668328044551,-25.596197767214818
40,-6.98636363765879,-24.331909814077775
41,-5.197339797126608,-24.21094265769555
42,-6.331199124561894,-25.24276061280352
43,-6.828987391299545,-26.136807134564226
44,-6.271394865579645,-23.6841967616724
45,-6.283282916368712,-24.56671501341918
46,-6.505961155019489,-24.731165329147856
47,-7.296467111860529,-24.945767108773005
48,-5.583820014921181,-23.026987713984735
49,-6.2243606280140735,-24.55592824992511
50,-6.651717622312485,-26.29617403287655
51,-5.911586171366785,-23.97362160464915
52,-6.350349016105127,-24.675031228956133
53,-5.618386047728231,-25.236249233467852
54,-5.983842334402201,-22.689844697047025
55,-5.922697499636409,-24.613533345714632
56,-6.3568216952984375,-23.765489219692125
57,-5.607388836483684,-23.288495219551873
58,-9.643037242636566,-25.282134463011225
59,-5.771356010705239,-24.584750332606138
60,-6.41781398111721,-24.747059650065268
61,-6.526458903395665,-24.934143081020913
62,-6.247767421645327,-25.872109277558632
63,-5.790618441124596,-23.494569211215946
64,-7.3711314888333,-26.160955178002848
65,-7.342059352081871,-26.022543948877146
66,-6.270489554512806,-26.20508814519695
67,-5.4952093892544625,-24.586405728301383
68,-6.50633208638348,-24.811718061706568
69,-6.3543691059778045,-24.792483723784745
70,-5.903799647537267,-24.777394861480737
71,-6.288197466697005,-24.288974912294268
72,-6.314707024083297,-25.606365216945957
73,-7.762957473083101,-23.983612035942233
74,-8.253634382062765,-24.405775471358762
75,-6.626753214361329,-22.70878932284454
76,-6.856236738790174,-23.158936478903584
77,-7.052748043813283,-23.379889669071346
78,-7.932703067976075,-23.789193604510274
79,-6.411085167352068,-23.26986728562028
80,-7.396082288028811,-23.374613408401707
81,-6.515065563026931,-22.38709063978345
82,-7.559434220412361,-23.915215819497405
83,-7.7373481989610005,-22.63682128785496
84,-8.148169512824389,-23.893319399319143
85,-6.554615021227608,-23.547741993671313
86,-8.146337615033124,-23.329769850499364
87,-6.823619433985665,-22.086949489934888
88,-8.467478637567481,-22.59742154418206
89,-7.974545235699376,-25.705827675374632
90,-8.875083441079784,-22.736288987919984
91,-7.372830381919184,-24.255164993629183
92,-7.04225367601219,-23.297418815728786
93,-7.020688281577615,-23.085967349543434
94,-7.046062119046493,-23.192691748657428
95,-6.802919243403539,-22.16239228733473
