"","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W30"
"D28-1_74",-0.504636187591301,-0.302996489789428,0.105498675752937,0.0432022092410982,0.150413457747591,-0.0202628702438901,-0.469605963777011,-0.243435213920581,-0.0592362925151041,-0.0199018794255358,-0.157162366445173,-0.243792770222793,-0.0558667465109613,-0.156756458254721,-0.226061770521321,-0.120218554764207,-0.10736937364046,-0.0386004746682642,-0.0448008263869109,0.138208647965172,-0.279270708254323,0.327427921819815,0.109380643328639,0.0626775513001072,-0.351838936356629,0.121056170826146,0.04783408298099,0.25687865493472,0.0107483175662285,0.258851559068457
"D28-1_76",0.106117574823447,0.0104838152722288,-0.132914986666522,-0.0458347847247808,0.653999591480511,0.246846564229551,-0.726681986039793,-0.77835428046663,-0.194050130628688,-0.0300600649176192,0.146296330577326,0.0191954615777491,-0.00808479550292916,0.152696272450696,-0.183114611399579,0.0811572070010527,-0.171828389105186,0.0882568414490282,-0.0377378735368361,0.151211641444929,-0.0553915648069362,-0.0282864670547481,-0.0338352350825586,0.300160167251812,-0.323061455774639,0.162946548401358,-0.186356725672135,-0.12681379172722,0.121415059590466,0.0273682453981122
"D28-1_85",-0.163705402376039,-0.200156883468838,-0.384786237057375,0.0412966640581911,0.613193455894971,0.229764743562275,-0.876713734662896,-0.844545700102937,-0.223422615372234,0.207635477913814,0.534333418940605,-0.438847321900369,0.178321997176392,-0.0670478701757838,0.173439907842616,0.134755260592703,-0.407112309209164,-0.404808992918928,-0.248884575360721,-0.627954259679674,-0.385275883347327,-0.102020349751946,0.591356303096519,0.0448750311192044,0.0592029683670497,-0.101880490156398,-0.650451315185045,-0.2395931414626,-0.229597366860276,0.868225987939582
"D28-2_37",-0.603987095708539,-0.0830531238379316,-0.254558723502098,-0.0484862254983351,0.00917450079192448,0.27214777915825,-0.650668441747609,-0.635901947644758,-0.146119780195039,-0.240444306786933,0.246291728550098,-0.195764166876292,-0.645677534779626,-0.327342458606305,-0.544882023617921,-0.206630194893665,-0.348633964413099,-0.556615307826359,0.0580296566416843,-0.48263636965858,0.0794509775332874,-0.0402621930856156,0.581672676005717,-0.437587397952299,0.125565222607104,-0.00734008686809518,0.0177595414541985,-0.119350191008,-0.0957812721724861,0.136974550318332
"D28-2_63",-0.143233701962743,0.0835382807631946,-0.0316100906379827,0.092941054632845,0.301608752375885,0.109301505399118,-0.735961742646117,-0.930030061890279,0.429878591479517,-0.147472482293223,0.615403528132054,-0.24933244966756,0.750205448099701,-0.0252880174180775,-0.103332291345934,-0.126677245843857,-0.194257015844708,-0.155225400332808,-0.054411719335705,-0.2419429908588,-0.203279162960433,-0.537555553888132,0.453378283184583,-0.018848558500044,0.036736829382042,0.255728402222801,0.0588594860294812,-0.183482043875387,0.000213224196811063,0.0978778526560086
"D28-2_91",-0.316892194722367,0.0319347305374207,-0.0638611676327433,-0.0638100401699293,0.336582920522039,0.226701610113945,-0.820082298177748,-0.48620520678804,-0.00761431807084024,0.444707985986704,0.272227212021469,-0.311674331934899,0.0995701792044792,0.136201401835963,-0.210883171803406,-0.159336833363706,-0.251822695001765,-0.132053859482405,0.114098699571352,-0.179836041279782,-0.113929103588397,0.353553410350247,0.0455562129841797,-0.17106209428831,0.0688340863989685,0.301033600654162,-0.113562197685163,0.0790053950899105,-0.0159954892553217,-0.181200244616566
"D28-3_14",0.127955511714257,0.09701590319398,0.0668658444249778,0.0893737153702431,0.50245729433783,0.323386638196207,-0.427180472240558,-0.70690963656093,0.21955951150599,0.169011431201716,0.0609643370969234,-0.230432190776794,0.386928356396362,-0.237913865832067,-0.0920498291061513,0.246941357809826,-0.263750691023444,0.0476582653856145,0.185614914428716,-0.09228611954445,-0.348214810555645,-0.01204562961968,0.227030807766667,-0.123159895735202,-0.356505326193918,0.301035358635616,0.0295244562021418,0.126639386920569,-0.178197761160436,-0.135107723519917
"D28-3_18",-0.0105713382390617,0.0801124844689007,-0.0811377956587968,-0.0836117463252012,0.575540092140463,0.371824738819126,-0.932131689168683,-0.213756421164968,0.115806101421113,0.267931169482967,0.175438412748667,-0.215765394094909,-0.021747657977485,-0.0577210066110712,-0.165334258308659,-0.0492808837880155,-0.149584545734837,-0.0579181630282945,0.294505488986388,-0.21014586168026,-0.279006185041051,0.221181716490544,0.0312737676264701,-0.197003450645209,-0.106512890374267,0.0970620603850008,-0.0745872942679705,0.102065695077873,-0.069643721392196,0.343569397346993
"D28-4_26",0.00714946507663288,0.0189142850723446,-0.0828698180797582,-0.0859487140802425,0.63575696272789,0.447685546914312,-0.749252855245536,-0.435034763546041,0.212212547042997,0.336589212947838,0.483568248377096,-0.0237989575569128,0.140478176708323,-0.272266685517271,0.0116463541530451,0.285849079187631,0.190468957266085,-0.302021324825415,0.180183603605343,-0.233886480586315,0.21449807201723,-0.149450434818263,0.275093714813752,-0.0335985387871898,0.159562105645839,-0.0257552246586774,0.245320561310671,0.11429570162451,-0.312606240970144,0.288273515859261
"D28-4_38",-0.142465618180336,0.0762804139938083,0.00570490745543015,-0.0673286579976139,0.493315033800263,0.193428517291257,-0.805716679029825,-0.440574739408496,0.0819667519741073,0.303191531137097,0.288918668370768,-0.31033650453379,-0.158813857366671,-0.0759642187610681,-0.225332114011061,-0.0919823811458053,0.117889055967349,-0.170003893234134,0.210326537569241,-0.148596712900267,-0.00773434619191057,0.423708821005388,-0.145980975949155,-0.279937389841396,-0.0495506026705934,0.245937124037584,-0.0338219206070914,0.334846764897559,-0.104689855374211,-0.110592440786159
